ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7229-2,KTTA & KOTITI,245,,knit,,"(F) polyester 95%, EL 5%, (B) polyester 100%",,,,,,,,,,,,,,,,,,,,,,,,
7230-2,KTTA & KOTITI,165,,knit,,"polyester 83%, ",EL 17%,,,,,,,,,,,,,,,,,,,,,,,
7231-1,KTTA & KOTITI,150,,woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7259-2,KTTA & KOTITI,129,,woven,,"polyester 57%,"," ME 19%, ","Silk 14%,",PA 10%,,,,,,,,,,,,,,,,,,,,,
7259-3,KTTA & KOTITI,53,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7278-1,KTTA & KOTITI,81,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7278-1,KTTA & KOTITI,266,,Knit,,"polyester 95%, ",EL 5%,,,,,,,,,,,,,,,,,,,,,,,
7298-1,KTTA & KOTITI,104,,woven,,"(F) polyamide 76%, ","polyester 17%, ",Polyurethane 7%,,,,,,,,,,,,,,,,,,,,,,
7322-1,KTTA & KOTITI,128,,knit,,polyester 99%,", polyamide 1%",,,,,,,,,,,,,,,,,,,,,,,
7324-1,KTTA & KOTITI,334,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7326-1,KTTA & KOTITI,299,,woven,,"polyester 90%,",EL 10%,,,,,,,,,,,,,,,,,,,,,,,
7338-1,KTTA & KOTITI,145,,knit,,"polyamide 70%, ","polyester 21%,",EL 9%,,,,,,,,,,,,,,,,,,,,,,
7340-1,KTTA & KOTITI,249,,woven,,"viscose 50%, ","Silk 18%, ","cotton 29%,"," ME 2%,",PA 1%,,,,,,,,,,,,,,,,,,,,
7346-1,KTTA & KOTITI,47,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7371-1,KTTA & KOTITI,225,,woven,,"cotton 74%, ",polyester 26%,,,,,,,,,,,,,,,,,,,,,,,
7371-2,KTTA & KOTITI,162,,knit,,"polyamide 48%, ","polyester 45%, ",EL 7%,,,,,,,,,,,,,,,,,,,,,,
7371-2,KTTA & KOTITI,250,,knit,,"polyamide 88%, ",EL 12%,,,,,,,,,,,,,,,,,,,,,,,
7405-1,KTTA & KOTITI,185,,woven,,"polyester 65%,",cotton 35%,,,,,,,,,,,,,,,,,,,,,,,
7405-1,KTTA & KOTITI,382,,knit,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
(G)H170470,KTTA & KOTITI,138,,woven,,"polyester 59%,","cotton 37%,",lyocell 4%,,,,,,,,,,,,,,,,,,,,,,
#1001 SKIN+CIRE,KTTA & KOTITI,281,,woven,twill,"cotton 73%, ",polyester 27%,,,,,,,,,,,,,,,,,,,,,,,
#1025 SKIN+,KTTA & KOTITI,217,,knit,,"polyamide 80%, ",EL 20%,,,,,,,,,,,,,,,,,,,,,,,
#1128 C2L,KTTA & KOTITI,180,,knit,,PC 100%,,,,,,,,,,,,,,,,,,,,,,,,
#1754 WR,KTTA & KOTITI,208,,knit,,"cotton 60%,",polyester 40%,,,,,,,,,,,,,,,,,,,,,,,
#1840,KTTA & KOTITI,164,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#4509 PU2,KTTA & KOTITI,120,,woven,,"cotton 55%, ",Silk 45%,,,,,,,,,,,,,,,,,,,,,,,
#4707 W3L,KTTA & KOTITI,293,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#4820 PU2,KTTA & KOTITI,195,,knit,,"polyamide 85%, ",EL 15%,,,,,,,,,,,,,,,,,,,,,,,
#7123 PU2,KTTA & KOTITI,300,,knit,,"polyester 95%, ",EL 5%,,,,,,,,,,,,,,,,,,,,,,,
#7172 TEF,KTTA & KOTITI,189,,woven,twill,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#8102P,KTTA & KOTITI,272,,woven,,"lyocell 70%, ",polyester 30%,,,,,,,,,,,,,,,,,,,,,,,
12014MS,KTTA & KOTITI,136,,woven,twill,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
12045-2S,KTTA & KOTITI,74,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
121917MS3,KTTA & KOTITI,298,,knit,,"polyester 80%, ",EL 20%,,,,,,,,,,,,,,,,,,,,,,,
14028A,KTTA & KOTITI,316,,knit,,"polyester 65%, ",cotton 35%,,,,,,,,,,,,,,,,,,,,,,,
160076-1,KTTA & KOTITI,57,,woven,,"viscose 52%, ",polyester 48%,,,,,,,,,,,,,,,,,,,,,,,
17CJS1287,KTTA & KOTITI,197,,woven,,"cotton 60%, ",Modal40%,,,,,,,,,,,,,,,,,,,,,,,
18399 DTP(PP),KTTA & KOTITI,131,,woven,,"Silk 20%, ","wool 46%, ",polyester 34%,,,,,,,,,,,,,,,,,,,,,,
34200-1S1,KTTA & KOTITI,129,,knit,,"R 50%, ","polyester 45%, ",Polyurethane 5%,,,,,,,,,,,,,,,,,,,,,,
7073-2A,KTTA & KOTITI,245,,knit,,"polyester 94%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,,
7113-2A,KTTA & KOTITI,104,,woven,,Silk 100%,,,,,,,,,,,,,,,,,,,,,,,,
7113-2B,KTTA & KOTITI,223,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7114-2A,KTTA & KOTITI,61,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7114-2B,KTTA & KOTITI,388,,woven,,polyamide 91%,", Polyurethane 9%",,,,,,,,,,,,,,,,,,,,,,,
7259-1A,KTTA & KOTITI,52,,woven,,Silk 15%,", cotton 85%",,,,,,,,,,,,,,,,,,,,,,,
7259-1B,KTTA & KOTITI,239,,woven,,"acylic 70%,",polyester 30%,,,,,,,,,,,,,,,,,,,,,,,
7259-1C,KTTA & KOTITI,217,,knit,,"polyester 48%, ","polyamide 44%, ",EL 8%,,,,,,,,,,,,,,,,,,,,,,
"7259-2A
",KTTA & KOTITI,170,,knit,,"R 62%, ","polyester 32%, ",Polyurethane 6%,,,,,,,,,,,,,,,,,,,,,,
7295-1B,KTTA & KOTITI,189,,knit,,"viscose 86%, ","LUREX 9%, ",EL 5%,,,,,,,,,,,,,,,,,,,,,,
"7295-1C
",KTTA & KOTITI,81,,woven,,"polyamide 82%, ",EL 18%,,,,,,,,,,,,,,,,,,,,,,,
"7296-1B
",KTTA & KOTITI,421,,woven,,"polyamide 92% (KEVLAR 14%), ",Polyurethane 8%,,,,,,,,,,,,,,,,,,,,,,,
7296-1C,KTTA & KOTITI,203,,knit,,"polyester 94%, ",EL 6%,,,,,,,,,,,,,,,,,,,,,,,
